HDI Rank (2017);Country;Alpha_3;2010;2011;2012;2013;2014;2015;2016;2017
74;Mexico;MEX;15716;16049;16395;16385;16623;16939;17207;17336
112;Moldova (the Republic of);MDA;3911;4179;4151;4542;4763;4747;4963;5190
92;Mongolia;MNG;7709;8881;9789;10720;11349;11412;11361;11841
50;Montenegro;MNE;14035;14472;14066;14551;14797;15290;15737;16409
123;Morocco;MAR;6443;6688;6791;6996;7079;7297;7286;7485
180;Mozambique;MOZ;918;955;994;1035;1080;1118;1127;1136
129;Namibia;NAM;8461;8721;8967;9256;9617;9975;9826;9542
149;Nepal;NPL;1986;2031;2103;2164;2266;2314;2298;2443
10;Netherlands (the);NLD;45525;46067;45411;45191;45668;46494;47270;48473
124;Nicaragua;NIC;4029;4231;4453;4619;4785;4957;5131;5321
189;Niger (the);NER;814;802;863;874;904;908;917;926
157;Nigeria;NGA;5150;5259;5339;5479;5672;5671;5435;5338
1;Norway;NOR;62350;62145;63003;62896;63419;64008;64160;64800
150;Pakistan;PAK;4284;4310;4367;4464;4576;4696;4857;5035
119;Palestine, State of;PSE;4173;4356;4842;4498;4320;4714;4738;4450
66;Panama;PAN;15629;17094;18441;19378;20018;20787;21473;22267
110;Paraguay;PRY;7290;7505;7312;8227;8502;8639;8871;8827
89;Peru;PER;9957;10449;10944;11430;11548;11770;12082;12237
113;Philippines (the);PHL;5597;5707;5989;6307;6586;6875;7233;7599
33;Poland;POL;21771;22851;23218;23555;24347;25300;26036;27216
41;Portugal;PRT;27238;26780;25806;25655;26024;26608;27124;27937
52;Romania;ROU;17553;17998;18302;19019;19678;20556;21671;23313
49;Russian Federation (the);RUS;23108;24310;25156;25551;25285;24517;24417;24766
158;Rwanda;RWA;1365;1437;1522;1553;1630;1731;1790;1854
90;Saint Lucia;LCA;12124;12112;12065;12416;12336;12522;12671;12952
143;Sao Tome and Principe;STP;2642;2696;2718;2786;2903;2948;3004;3053
164;Senegal;SEN;2184;2158;2187;2196;2219;2294;2379;2471
67;Serbia;SRB;12688;12968;12899;13295;13113;13278;13721;14049
184;Sierra Leone;SLE;1200;1246;1403;1655;1692;1314;1364;1390
38;Slovakia;SVK;25159;25835;26218;26581;27285;28309;29212;30155
25;Slovenia;SVN;28678;28805;27977;27623;28418;29038;29930;31401
113;South Africa;ZAF;11888;12119;12215;12340;12390;12378;12287;12295
26;Spain;ESP;32507;32068;31109;30679;31195;32291;33320;34272
76;Sri Lanka;LKA;8530;9193;9980;10239;10650;11080;11445;11669
100;Suriname;SUR;14212;14888;15132;15419;15307;14767;13878;13767
7;Sweden;SWE;42943;43755;43308;43476;44168;45679;46568;46949
2;Switzerland;CHE;55866;56184;56150;56536;57218;57264;57422;57410
127;Tajikistan;TJK;2106;2212;2324;2441;2547;2641;2763;2897
154;Tanzania, United Republic of;TZA;2091;2186;2228;2316;2402;2491;2584;2683
83;Thailand;THA;13487;13535;14448;14771;14857;15252;15706;16278
80;Macedonia (the former Yugoslav Republic of);MKD;11355;11612;11550;11878;12298;12760;13121;13111
132;Timor-Leste;TLS;8861;9717;9977;8672;6263;7399;7297;6570
165;Togo;TGO;1208;1234;1259;1275;1315;1351;1388;1430
69;Trinidad and Tobago;TTO;31261;31013;31255;31405;31182;31525;29541;28763
95;Tunisia;TUN;10436;10121;10404;10579;10767;10766;10762;10849
64;Turkey;TUR;17959;19661;20282;21651;22402;23388;23756;25129
162;Uganda;UGA;1516;1603;1608;1611;1637;1666;1687;1698
88;Ukraine;UKR;7824;8282;8322;8339;8243;7465;7668;7894
14;United Kingdom of Great Britain and Northern Ireland (the);GBR;36367;36608;36893;37399;38252;38839;39309;39753
13;United States of America (the);USA;49374;49794;50520;51004;51922;53006;53399;54225
55;Uruguay;URY;17082;17905;18477;19271;19828;19831;20094;20551
105;Uzbekistan;UZB;4240;4470;4766;5067;5371;5700;6039;6253
138;Vanuatu;VUT;2948;2915;2899;2890;2892;2807;2856;2922
78;Venezuela (Bolivarian Republic of);VEN;16545;16981;17679;17665;16745;16745;16745;16745
116;Viet Nam;VNM;4408;4633;4821;5024;5265;5555;5838;6172
178;Yemen;YEM;4479;3805;3793;3873;3767;2309;1479;1479
144;Zambia;ZMB;3279;3361;3509;3577;3633;3627;3652;3689
156;Zimbabwe;ZWE;1475;1667;1871;1930;1925;1912;1880;1900
