"HDI Rank (2017)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"30"," Estonia","3.1","","2.7","","2.6","","2.5","","2.4","","2.3","","2.4","","2.3"," a,b"
"144"," Eswatini (Kingdom of)","38.3","","29.8","","29.8","","26.8","","26.8","","26.8","","24.1","","24.1"," a,b"
"173"," Ethiopia","38.2","","38.2","","38.3","","44.3","","44.3","","36.6","","36.6","","43.5"," a,b"
"92"," Fiji","11.0","","","","","","10.5","","10.5","","10.5","","","","",""
"15"," Finland","4.7","","2.1","","2.4","","2.1","","2.1","","2.0","","2.0","","1.9"," a,b"
"24"," France","9.1","","9.1","","9.4","","8.6","","8.0","","7.5","","8.6","","8.6"," a,b"
"110"," Gabon","7.3","","7.3","","7.3","","23.5","","23.5","","23.5","","23.5","","23.5"," a,b"
"174"," Gambia","44.7","","","","","","","","","","","","49.3","","49.3"," a,b"
"70"," Georgia","4.9","","3.3","","3.3","","3.3","","3.3","","2.2","","2.2","","2.2"," a,b"
"5"," Germany","2.3","","1.8","","1.8","","2.4","","2.4","","2.6","","2.6","","2.7"," a,b"
"140"," Ghana","7.5","","40.9","","40.9","","35.6","","36.7","","34.9","","34.9","","34.9"," a,b"
"31"," Greece","5.8","","14.3","","11.3","","11.3","","11.6","","11.7","","14.2","","13.1"," a,b"
"127"," Guatemala","36.1","","36.1","","36.1","","36.1","","36.2","","36.2","","35.0","","35.0"," a,b"
"175"," Guinea","42.6","","42.0","","42.0","","42.0","","48.3","","48.3","","48.3","","48.3"," a,b"
"177"," Guinea-Bissau","40.3","","40.3","","40.3","","40.3","","40.3","","40.3","","41.9","","41.9"," a,b"
"125"," Guyana","9.6","","11.7","","10.5","","10.5","","10.5","","10.5","","10.7","","10.7"," a,b"
"168"," Haiti","40.7","","40.7","","40.7","","40.4","","38.3","","38.3","","38.3","","38.3"," a,b"
"133"," Honduras","31.0","","31.8","","28.2","","29.6","","26.4","","24.4","","23.0","","22.7"," a,b"
"7"," Hong Kong, China (SAR)","","","","","","","","","","","","","11.1","","10.2"," a,b"
"45"," Hungary","4.1","","4.0","","4.1","","3.5","","3.2","","3.1","","3.0","","3.2"," a,b"
"6"," Iceland","2.6","","2.6","","2.5","","2.5","","2.4","","2.5","","2.6","","2.6"," a,b"
"130"," India","40.6","","40.6","","42.4","","42.1","","42.1","","39.4","","39.4","","38.7"," a,b"
"116"," Indonesia","21.4","","20.4","","20.4","","23.2","","20.8","","20.8","","20.8","","16.5"," a,b"
"60"," Iran (Islamic Republic of)","","","","","","","37.3","","37.3","","37.3","","","","4.9"," a,b"
"120"," Iraq","","","","","33.0","","29.8","","30.6","","30.6","","29.8","","27.2"," a,b"
"4"," Ireland","3.2","","3.2","","3.2","","5.2","","5.4","","3.0","","2.9","","2.9"," a,b"
"22"," Israel","7.9","","7.9","","7.9","","7.9","","9.9","","8.4","","8.4","","7.0"," a,b"
"28"," Italy","11.8","","11.4","","13.1","","11.7","","10.6","","9.9","","11.5","","10.5"," a,b"
"97"," Jamaica","8.3","","8.3","","10.6","","10.6","","5.6","","5.6","","5.6","","5.6"," a,b"
"19"," Japan","","","","","","","19.8","","19.8","","19.8","","19.8","","1.6"," a,b"
"95"," Jordan","25.1","","22.4","","22.4","","22.4","","16.9","","16.9","","16.9","","16.9"," a,b"
"58"," Kazakhstan","5.3","","5.3","","6.9","","5.9","","5.9","","5.9","","3.2","","3.2"," a,b"
"142"," Kenya","29.2","","30.7","","30.7","","30.7","","26.0","","22.9","","22.9","","22.9"," a,b"
"134"," Kiribati","","","","","","","21.4","","21.4","","21.4","","21.4","","21.4"," a,b"
"22"," Korea (Republic of)","25.5","","25.5","","25.5","","28.1","","25.5","","25.5","","18.5","","18.5"," a,b"
"56"," Kuwait","","","","","","","","","","","","","17.2","","17.8"," a,b"
"122"," Kyrgyzstan","11.1","","11.1","","6.5","","6.6","","5.0","","5.0","","5.0","","5.0"," a,b"
"139"," Lao People's Democratic Republic","30.5","","30.5","","31.2","","34.1","","34.1","","34.1","","34.1","","34.1"," a,b"
"41"," Latvia","3.3","","3.8","","3.6","","3.6","","3.5","","3.8","","3.7","","3.7"," a,b"
"80"," Lebanon","","","24.1","","24.1","","24.1","","24.1","","24.1","","6.2","","6.2"," a,b"
"159"," Lesotho","24.9","","24.3","","24.3","","24.3","","24.3","","24.3","","21.9","","21.9"," a,b"
"181"," Liberia","46.4","","46.4","","46.4","","46.4","","46.4","","42.9","","42.9","","42.9"," a,b"
"35"," Lithuania","4.3","","4.1","","5.0","","6.1","","5.9","","5.6","","5.4","","4.5"," a,b"
"21"," Luxembourg","6.2","","6.2","","6.3","","6.0","","6.0","","5.8","","8.1","","9.4"," a,b"
"161"," Madagascar","30.8","","30.1","","30.1","","30.1","","35.0","","35.0","","35.0","","35.0"," a,b"
"171"," Malawi","34.7","","34.7","","30.2","","30.2","","30.2","","28.2","","28.4","","28.4"," a,b"
"57"," Malaysia","","","","","","","","","","","","","","","15.6"," a,b"
"101"," Maldives","11.5","","41.2","","41.2","","41.2","","40.0","","40.0","","40.0","","40.0"," a,b"
"182"," Mali","36.9","","36.9","","36.9","","36.9","","41.6","","41.6","","41.6","","46.2"," a,b"
"29"," Malta","","","","","5.5","","5.7","","7.3","","6.0","","6.7","","6.9"," a,b"
"159"," Mauritania","43.2","","43.2","","42.1","","45.9","","40.8","","40.8","","40.8","","40.8"," a,b"
"65"," Mauritius","","","13.5","","13.5","","13.2","","13.2","","13.2","","13.2","","13.2"," a,b"
"74"," Mexico","17.9","","21.9","","21.9","","21.4","","19.7","","19.7","","17.1","","17.1"," a,b"
"131"," Micronesia (Federated States of)","22.4","","22.4","","","","","","","","","","","","",""
"112"," Moldova (Republic of)","7.5","","6.1","","6.1","","6.1","","7.3","","7.3","","7.3","","7.3"," a,b"
"92"," Mongolia","5.8","","5.8","","8.9","","5.2","","9.4","","9.4","","11.9","","11.9"," a,b"
"50"," Montenegro","9.6","","2.5","","2.5","","2.5","","7.4","","7.4","","7.4","","7.4"," a,b"
"123"," Morocco","42.7","","45.8","","45.8","","45.8","","45.8","","45.8","","","","",""
"180"," Mozambique","28.2","","18.2","","18.2","","18.2","","33.8","","33.8","","33.8","","33.8"," a,b"
"148"," Myanmar","","","","","","","19.4","","19.4","","19.4","","26.9","","26.9"," a,b"
"129"," Namibia","27.8","","27.8","","27.8","","27.8","","27.8","","25.0","","25.0","","25.0"," a,b"
"149"," Nepal","43.3","","43.6","","43.6","","44.0","","41.4","","43.9","","43.9","","40.9"," a,b"
"10"," Netherlands","4.0","","3.9","","3.9","","4.1","","4.1","","4.2","","4.6","","5.3"," a,b"
"16"," New Zealand","","","","","","","","","","","","","2.5","","1.7"," a,b"
"124"," Nicaragua","33.3","","33.3","","33.3","","33.3","","29.5","","29.5","","25.7","","25.7"," a,b"
"189"," Niger","31.3","","39.5","","39.5","","39.5","","35.0","","35.0","","35.0","","35.0"," a,b"
"157"," Nigeria","46.0","","44.2","","45.2","","45.2","","43.3","","43.3","","43.8","","38.1"," a,b"
"1"," Norway","2.4","","2.2","","2.2","","2.4","","2.3","","2.4","","5.3","","6.1"," a,b"
"150"," Pakistan","46.4","","46.4","","45.2","","45.2","","44.4","","44.4","","44.4","","46.2"," a,b"
"60"," Palau","","","","","","","12.0","","12.0","","12.0","","12.0","","1.9"," a,b"
"119"," Palestine, State of","","","","","","","6.9","","16.5","","16.5","","13.3","","14.1"," a,b"
"66"," Panama","9.9","","17.8","","17.8","","16.3","","16.6","","13.6","","13.1","","12.5"," a,b"
"153"," Papua New Guinea","","","","","","","11.5","","11.5","","11.5","","11.5","","11.5"," a,b"
"110"," Paraguay","19.8","","19.8","","","","17.2","","16.2","","14.0","","13.8","","16.7"," a,b"
"89"," Peru","30.2","","24.0","","24.6","","25.6","","23.3","","20.3","","16.1","","15.3"," a,b"
"113"," Philippines","12.9","","13.5","","13.5","","13.5","","11.6","","11.6","","11.6","","11.6"," a,b"
"33"," Poland","7.1","","6.6","","6.3","","5.6","","5.6","","5.4","","5.4","","4.7"," a,b"
"41"," Portugal","5.7","","5.6","","5.6","","5.7","","5.9","","5.9","","17.5","","16.3"," a,b"
"37"," Qatar","","","","","","","","","","","","","11.9","","11.4"," a,b"
"52"," Romania","13.1","","5.0","","5.0","","5.0","","4.7","","4.6","","6.0","","6.3"," a,b"
"49"," Russian Federation","11.2","","11.2","","","","2.1","","2.3","","2.2","","2.2","","2.2"," a,b"
"158"," Rwanda","30.7","","30.7","","29.4","","29.4","","29.4","","29.3","","29.3","","29.3"," a,b"
"90"," Saint Lucia","","","","","","","","","9.2","","9.2","","9.2","","12.6"," a,b"
"104"," Samoa","","","","","","","","","","","","","","","4.9"," a,b"
"143"," Sao Tome and Principe","22.7","","19.1","","20.0","","20.0","","21.4","","21.4","","18.3","","18.3"," a,b"
"39"," Saudi Arabia","","","","","","","","","","","","","16.4","","16.2"," a,b"
"164"," Senegal","47.3","","45.1","","44.6","","44.6","","44.7","","44.7","","45.3","","46.5"," a,b"
"67"," Serbia","11.1","","9.9","","9.9","","10.7","","8.1","","8.1","","9.3","","8.1"," a,b"
"184"," Sierra Leone","48.2","","47.4","","47.4","","48.7","","49.6","","47.3","","47.3","","47.3"," a,b"
"9"," Singapore","","","","","","","","","","","","","8.8","","8.2"," a,b"
"38"," Slovakia","1.7","","1.6","","1.5","","1.5","","1.5","","1.4","","1.6","","1.4"," a,b"
"25"," Slovenia","4.0","","3.1","","3.3","","2.7","","2.6","","2.6","","2.2","","2.2"," a,b"
"152"," Solomon Islands","30.2","","","","","","22.8","","22.8","","22.8","","","","",""
"n.a"," Somalia","","","","","","","","","43.5","","43.5","","","","",""
"113"," South Africa","20.8","","20.8","","20.8","","18.1","","16.1","","13.8","","14.3","","14.3"," a,b"
"187"," South Sudan","","","","","","","","","39.6","","39.6","","39.6","","39.6"," a,b"
"26"," Spain","5.7","","5.5","","5.5","","5.4","","5.2","","5.1","","19.2","","18.6"," a,b"
"76"," Sri Lanka","17.9","","17.9","","14.6","","14.6","","12.8","","12.8","","12.8","","12.8"," a,b"
"167"," Sudan","","","","","","","","","42.7","","42.7","","42.5","","42.5"," a,b"
"100"," Suriname","20.1","","20.1","","20.1","","19.5","","19.0","","19.0","","15.2","","15.6"," a,b"
"7"," Sweden","3.6","","3.9","","3.8","","3.6","","3.5","","3.4","","3.5","","3.7"," a,b"
"2"," Switzerland","2.0","","2.0","","2.0","","5.8","","5.7","","5.7","","2.4","","2.4"," a,b"
"155"," Syrian Arab Republic","31.5","","31.5","","31.5","","31.5","","31.5","","31.5","","31.5","","",""
"127"," Tajikistan","9.4","","9.4","","12.2","","12.2","","6.5","","6.5","","6.5","","6.5"," a,b"
"154"," Tanzania (United Republic of)","28.7","","32.8","","28.3","","29.5","","28.5","","28.5","","27.0","","27.0"," a,b"
"83"," Thailand","18.0","","18.0","","18.0","","16.1","","16.1","","16.1","","16.6","","13.3"," a,b"
"80"," The former Yugoslav Republic of Macedonia","17.5","","17.5","","12.3","","10.6","","10.6","","10.6","","10.5","","10.5"," a,b"
"132"," Timor-Leste","44.3","","47.4","","47.6","","47.6","","47.6","","47.6","","47.6","","44.9"," a,b"
"165"," Togo","41.5","","41.5","","41.5","","37.6","","38.9","","38.9","","38.9","","38.9"," a,b"
"98"," Tonga","5.1","","","","","","","","","","","","","","4.5"," a,b"
"69"," Trinidad and Tobago","6.6","","6.6","","6.6","","6.6","","6.6","","6.6","","6.6","","",""
"95"," Tunisia","38.7","","38.7","","","","","","34.6","","34.6","","34.6","","34.6"," a,b"
"64"," Turkey","27.4","","27.4","","27.4","","14.1","","14.2","","14.2","","14.2","","13.5"," a,b"
"108"," Turkmenistan","10.2","","","","","","","","","","","","3.6","","3.6"," a,b"
"n.a"," Tuvalu","","","","","","","10.5","","10.5","","10.5","","10.5","","10.5"," a,b"
"162"," Uganda","28.2","","32.2","","32.2","","31.2","","29.4","","29.4","","29.4","","27.9"," a,b"
"88"," Ukraine","2.8","","6.1","","6.1","","6.1","","3.6","","3.6","","3.6","","3.6"," a,b"
"14"," United Kingdom","2.1","","2.2","","2.6","","2.6","","2.8","","2.8","","8.7","","3.7"," a,b"
"13"," United States","3.2","","3.7","","5.3","","6.7","","5.3","","5.6","","5.6","","5.5"," a,b"
"55"," Uruguay","10.8","","10.8","","10.8","","10.9","","9.2","","10.4","","7.4","","7.4"," a,b"
"105"," Uzbekistan","1.4","","1.4","","1.4","","1.4","","1.4","","1.4","","1.3","","0.8"," a,b"
"138"," Vanuatu","","","","","","","","","17.5","","17.5","","17.5","","17.5"," a,b"
"78"," Venezuela (Bolivarian Republic of)","17.0","","18.1","","18.1","","17.6","","17.6","","17.6","","14.5","","12.9"," a,b"
"116"," Viet Nam","17.1","","17.1","","17.1","","18.0","","18.0","","17.6","","17.6","","17.6"," a,b"
"178"," Yemen","49.8","","49.8","","49.8","","47.2","","48.1","","48.1","","46.1","","46.1"," a,b"
"144"," Zambia","24.2","","23.8","","23.8","","23.8","","21.7","","21.7","","21.7","","21.7"," a,b"
"156"," Zimbabwe","20.1","","20.1","","17.8","","17.8","","17.4","","17.4","","16.8","","16.8"," a,b"
