"HDI Rank (2017)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"175"," Guinea","26.8","","31.1","","31.1","","31.1","","17.1","","17.1","","17.1","","17.1"," a,b"
"177"," Guinea-Bissau","32.5","","32.5","","32.5","","32.5","","32.5","","32.5","","37.9","","37.9"," a,b"
"125"," Guyana","20.3","","32.1","","24.4","","24.4","","24.4","","24.4","","25.1","","25.1"," a,b"
"168"," Haiti","47.9","","47.9","","47.9","","48.4","","48.4","","48.4","","48.4","","48.4"," a,b"
"133"," Honduras","39.7","","43.4","","35.8","","46.8","","48.6","","41.5","","36.3","","34.9"," a,b"
"7"," Hong Kong, China (SAR)","","","","","","","","","","","","","","","25.6"," a,b"
"45"," Hungary","14.7","","11.2","","12.2","","13.1","","12.6","","14.6","","15.5","","15.2"," a,b"
"6"," Iceland","13.4","","11.8","","13.2","","11.6","","12.2","","11.7","","12.8","","12.8"," a,b"
"130"," India","14.7","","14.7","","15.8","","16.1","","16.1","","16.1","","21.0","","18.8"," a,b"
"116"," Indonesia","14.8","","17.7","","17.7","","17.7","","17.3","","17.3","","17.3","","24.9"," a,b"
"60"," Iran (Islamic Republic of)","","","","","","","46.6","","46.6","","46.6","","46.6","","19.7"," a,b"
"120"," Iraq","","","","","","","16.1","","16.1","","16.1","","16.1","","16.1"," a,b"
"4"," Ireland","18.8","","13.8","","13.8","","13.3","","16.3","","16.3","","20.1","","20.1"," a,b"
"22"," Israel","23.7","","23.7","","23.7","","19.6","","25.0","","26.4","","26.4","","26.4"," a,b"
"28"," Italy","19.4","","16.8","","18.1","","19.8","","19.8","","20.8","","22.5","","22.5"," a,b"
"97"," Jamaica","24.1","","24.1","","30.1","","30.1","","30.1","","30.1","","32.0","","32.0"," a,b"
"19"," Japan","","","","","","","13.5","","13.5","","13.5","","13.5","","6.3"," a,b"
"95"," Jordan","18.7","","21.1","","21.1","","21.1","","20.5","","20.5","","20.5","","20.5"," a,b"
"58"," Kazakhstan","17.6","","13.8","","17.3","","12.7","","12.7","","12.7","","10.3","","10.3"," a,b"
"142"," Kenya","28.8","","36.0","","36.0","","36.0","","36.0","","33.1","","33.1","","33.1"," a,b"
"134"," Kiribati","","","","","","","48.4","","48.4","","48.4","","48.4","","",""
"22"," Korea (Republic of)","18.4","","18.4","","18.4","","18.4","","18.4","","18.4","","20.2","","20.2"," a,b"
"122"," Kyrgyzstan","12.2","","12.2","","24.1","","24.1","","17.7","","17.7","","12.2","","12.2"," a,b"
"139"," Lao People's Democratic Republic","15.5","","15.5","","20.6","","16.8","","20.3","","20.3","","20.3","","20.3"," a,b"
"41"," Latvia","20.5","","21.0","","20.9","","19.8","","20.5","","20.3","","20.7","","20.7"," a,b"
"80"," Lebanon","","","30.0","","30.0","","30.0","","30.0","","30.0","","","","",""
"159"," Lesotho","39.5","","47.0","","47.0","","47.0","","47.0","","47.0","","41.1","","41.1"," a,b"
