"HDI Rank (2017)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"108"," Turkmenistan","27.5","","26.7","","26.7","","26.0","","26.0","","26.0","","23.4"," a","23.4"," a"
"162"," Uganda","40.7","","39.1","","39.1","","33.8","","33.8","","35.7","","32.5"," a","32.5"," a"
"88"," Ukraine","11.0","","10.5","","10.5","","10.4","","10.4","","8.7","","7.5"," a","7.5"," a"
"34"," United Arab Emirates","7.4","","6.3","","6.3","","5.5","","5.5","","5.8","","5.2"," a","5.2"," a"
"14"," United Kingdom","4.9","","4.8","","4.8","","4.5","","4.5","","4.5","","4.0"," a","4.0"," a"
"13"," United States","6.0","","6.6","","6.6","","6.2","","6.2","","6.1","","5.6"," a","5.6"," a"
"55"," Uruguay","10.1","","9.3","","9.3","","9.2","","9.2","","9.5","","9.0"," a","9.0"," a"
"105"," Uzbekistan","25.9","","24.3","","24.3","","24.3","","24.3","","24.3","","17.0"," a","17.0"," a"
"138"," Vanuatu","","","15.6","","15.6","","15.4","","15.4","","15.4","","14.1"," a","14.1"," a"
"78"," Venezuela (Bolivarian Republic of)","13.3","","12.2","","12.2","","12.2","","12.2","","11.4","","10.5"," a","10.5"," a"
"116"," Viet Nam","13.8","","13.4","","13.4","","12.1","","12.1","","14.2","","12.7"," a","12.7"," a"
"178"," Yemen","31.2","","25.1","","25.1","","30.3","","30.3","","29.4","","24.9"," a","24.9"," a"
"144"," Zambia","46.5","","41.9","","41.9","","37.2","","37.2","","33.8","","28.8"," a","28.8"," a"
"156"," Zimbabwe","34.2","","30.6","","30.6","","26.8","","26.8","","31.2","","26.6"," a","26.6"," a"
